"id","idApi","gifUrl","bodyPartId","targetMuscleId"
19,"0001","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663082/exercises/lmqfqhqmrcd1717pzbn3.gif",7,4
20,"0002","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663088/exercises/ztm2ish346i43slxc4kv.gif",7,4
21,"0003","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663095/exercises/dqunldmfjq9tnmqf9yw2.gif",7,4
22,"1512","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663099/exercises/urvrzvxmvakve1aqew1t.gif",8,9
23,"0006","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663105/exercises/dh45d51g3iluuzgknpc6.gif",7,4
24,"0007","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663110/exercises/oo1imklxyqgircdxdgdp.gif",9,13
25,"1368","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663114/exercises/xofowzyxzibnoktfftbq.gif",10,16
26,"3293","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663118/exercises/vcan1uihbtya8qbq0fjh.gif",9,13
27,"3294","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663127/exercises/aydtoziw37kk4xpt7ghx.gif",11,19
28,"2355","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663132/exercises/a69oahjkwurdyjkx6z1f.gif",7,4
29,"2333","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663137/exercises/djlvaottwmrou8fixz43.gif",7,4
30,"3214","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663145/exercises/s32fbp4hkbzs7qecvozt.gif",8,11
31,"3204","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663148/exercises/a3ct08mdio4uty3nctqz.gif",7,4
32,"0009","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663153/exercises/alwowhgxk222s7epdlqv.gif",11,19
33,"0011","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663157/exercises/fokbmr7z9itrt4ow7m2p.gif",7,4
34,"0010","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663162/exercises/d8wlzyuntqaum37ioest.gif",7,4
35,"1708","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663167/exercises/ynnueel69bkpfemasz4a.gif",10,16
36,"1709","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663172/exercises/i6cfteh7yezh3nuequtd.gif",8,11
37,"1710","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663177/exercises/qkzgymmr8czwqmxx2jhd.gif",8,11
38,"0012","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663182/exercises/cjvtngbgmalyxbxrcbr6.gif",7,4
39,"0013","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663187/exercises/zsnipq7scckuf0u6ryae.gif",7,4
40,"0014","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663192/exercises/haqbj47hmceskxmn0ttv.gif",7,4
41,"0015","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663197/exercises/hog8bvetulg63sdkchg1.gif",9,13
42,"0016","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663202/exercises/tlbnsd6purwgmfsoxdsh.gif",8,10
43,"1713","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663206/exercises/uolzsxas31z8deqn1nre.gif",8,9
44,"1714","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663211/exercises/drl2ecyeovqjfzvh0k0i.gif",7,4
45,"0017","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663216/exercises/oqlgi2cnv0vclg0ycv2j.gif",9,13
46,"1716","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663222/exercises/s7yuloaflprrksm2jinu.gif",11,19
47,"1712","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663228/exercises/x9f1jwuf33bx4d1zbfie.gif",8,28
48,"1758","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663233/exercises/gppeurydwje1yxss1mpw.gif",7,4
49,"1431","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663237/exercises/ysp5dzo3ktib7hds7oy4.gif",9,13
50,"1432","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663242/exercises/ngomr0o7curvqmom5yak.gif",9,13
51,"0018","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663246/exercises/esguy6dbbwe9j0zjounb.gif",12,20
52,"0019","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663251/exercises/k9fkfmjwgziij6rixxdf.gif",12,20
53,"2364","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663256/exercises/do9ewc2nfo3amiutmdwo.gif",11,19
54,"3220","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663263/exercises/mrsmxuhcgk4yddj42drr.gif",13,30
55,"3672","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663271/exercises/upq3o3mr8djayefrvvab.gif",13,30
56,"1314","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663276/exercises/lb9ptflbziz6xzxbj2lh.gif",9,31
57,"3297","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663280/exercises/ag7lmar5qyynzqujlly9.gif",9,32
58,"1405","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663284/exercises/shqc1tbgrmth3qxjqym1.gif",9,13
59,"1473","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663289/exercises/ii5vy1bclpsh2sd8xl1u.gif",8,9
60,"0020","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663293/exercises/cy46n2xheerju5haukai.gif",8,9
61,"0968","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663298/exercises/vgosaoibspv0yrgtjaul.gif",12,14
62,"0969","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663303/exercises/naxtoyd86dte0uvgzawj.gif",7,4
63,"0970","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663307/exercises/vm5mo0s6zslc41rjhpgv.gif",9,13
64,"0971","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663311/exercises/a8d9b9p08hzgd9eew1rw.gif",7,4
65,"1254","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663317/exercises/kxfmn8kjzxqlguysklli.gif",11,19
66,"0980","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663321/exercises/bl7iy58tryphtlyqgi1y.gif",8,11
67,"0972","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663325/exercises/ln00n1003801hj5oeywg.gif",7,4
68,"0974","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663329/exercises/aqccuvloketb2dwx1tkm.gif",9,13
69,"0975","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663334/exercises/hirle1eisslhlctyyyra.gif",12,20
70,"0976","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663341/exercises/qnyi2784oum0ggv6wxsf.gif",12,14
71,"3117","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663345/exercises/p15fkstkfurdg2cjnpjg.gif",9,13
72,"3116","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663348/exercises/xdrlr8fwcj77l0mxkmh2.gif",9,13
73,"0977","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663354/exercises/iurisja2xj4zheugkhno.gif",14,34
74,"0978","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663359/exercises/rpznybuosdd005e5ksbj.gif",14,34
75,"1408","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663364/exercises/vmqehw3djn4zabcnpalg.gif",8,11
76,"0979","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663368/exercises/lr4zqaq2jyaidcpgtzt2.gif",7,4
77,"0981","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663372/exercises/rc2sujevrmbylmqeaof5.gif",7,4
78,"0983","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663377/exercises/lrfabygnbefgi5hzu4ey.gif",9,13
79,"0985","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663382/exercises/gklbwvkjxkzijiy0cctm.gif",7,4
80,"0984","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663386/exercises/hfxrznag6ktufuhtvluf.gif",8,11
81,"1002","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663390/exercises/g3yjfqzwuua4yylbz8sk.gif",7,4
82,"0986","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663395/exercises/zmci43vno4nn7axptmma.gif",12,14
83,"0987","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663400/exercises/dqm1aenuyqw7qpy6hvqu.gif",8,9
84,"0988","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663405/exercises/mmfbd3wjnf1l62kkfq38.gif",9,32
85,"0989","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663409/exercises/gyo5glmv5o0hwmqkg6wu.gif",11,19
86,"0990","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663415/exercises/j95r6joco54zrs7ihvhc.gif",9,32
87,"0991","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663420/exercises/mtnpvqecbwubvhwv5lrs.gif",8,11
88,"0992","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663425/exercises/wznipwjfzypclfg7aa0j.gif",7,4
89,"0993","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663429/exercises/uujywwwiwvwxdzfuoh9n.gif",14,34
90,"0994","https://res.cloudinary.com/dlvzqmmld/image/upload/v1712663436/exercises/pvy0pyonvv50lrf7k2hy.gif",15,25
